비고,시군구,운영기관,이용가능시간,이용자 제한,주소,지역,충전기타입,충전소,충전소별 충전기연번
"","달성군","대구환경공단","24시간","","대구광역시 달성군 유가면 테크노대로6길20(유가면 상리 588)","대구광역시","AC완속","대구과학관",2
"","달성군","대구환경공단","24시간","","대구광역시 달성군 유가면 테크노대로6길20(유가면 상리 588)","대구광역시","AC완속","대구과학관",3
"","달성군","대구환경공단","24시간","","대구광역시 달성군 유가면 테크노대로6길20(유가면 상리 588)","대구광역시","AC완속","대구과학관",4
"","달서구","대구환경공단","24시간","","대구광역시 달서구 월배로 250(달서구 상인1동 1500)","대구광역시","DC차데모+AC3상+DC콤보","대구도시철도공사",1
"","북구","대구환경공단","24시간 이용가능","시설 상황에 따라 이용이 제한될 수 있음","대구광역시 북구 문주길 170대구사격장(40 대구사격장)","대구광역시","DC차데모+AC3상+DC콤보","대구사격장",1
"","달성군","대구환경공단","24시간 이용가능","","대구광역시 달성군 옥포읍 비슬로 2215","대구광역시","DC차데모+AC3상+DC콤보","대구시(대구 달성군)옥포읍 행정복지센터",1
"","중구","대구환경공단","24시간 이용가능","","대구광역시 중구 국채보상로139길 1","대구광역시","DC차데모+AC3상+DC콤보","대구시_ 중구청",1
"","달성군","대구환경공단","24시간 이용가능","","대구광역시 달성군 하빈면 하빈로84길 1","대구광역시","DC차데모+AC3상+DC콤보","대구시_(달성군)하빈면 사무소",1
"","달서구","대구환경공단","24시간 이용가능","","대구광역시 달서구 당산로 37-14","대구광역시","DC차데모+AC3상+DC콤보","대구시_(대구 달서구)본리동 행정복지센터",1
"","달서구","대구환경공단","24시간 이용가능","","대구광역시 달서구 와룡로54길 28","대구광역시","DC차데모+AC3상+DC콤보","대구시_(대구 달서구)죽전동 행정복지센터",1
"","달성군","대구환경공단","24시간 이용가능","","대구광역시 달성군 유가읍 테크노상업로 95","대구광역시","DC차데모+AC3상+DC콤보","대구시_(대구 달성군)유가읍 행정복지센터",1
"","달성군","대구환경공단","24시간 이용가능","","대구광역시 달성군 유가읍 테크노상업로 95","대구광역시","DC차데모+AC3상+DC콤보","대구시_(대구 달성군)유가읍 행정복지센터",2
"","달성군","대구환경공단","24시간 이용가능","","대구광역시 달성군 유가읍 테크노상업로 95","대구광역시","AC완속","대구시_(대구 달성군)유가읍 행정복지센터",3
"","달성군","대구환경공단","24시간 이용가능","","대구광역시 달성군 유가읍 테크노상업로 95","대구광역시","AC완속","대구시_(대구 달성군)유가읍 행정복지센터",4
"","달성군","대구환경공단","24시간 이용가능","","대구광역시 달성군 유가읍 테크노상업로 95","대구광역시","AC완속","대구시_(대구 달성군)유가읍 행정복지센터",5
"","동구","대구환경공단","24시간 이용가능","","대구광역시 동구 동촌로11길 5","대구광역시","DC차데모+AC3상+DC콤보","대구시_(대구 동구)동촌동 행정복지센터",1
"","동구","대구환경공단","24시간 이용가능","","대구광역시 동구 동촌로48길 26","대구광역시","DC차데모+AC3상+DC콤보","대구시_(대구 동구)방촌동 행정복지센터",1
"","동구","대구환경공단","24시간 이용가능","","대구광역시 동구 신성로 56","대구광역시","DC차데모+AC3상+DC콤보","대구시_(대구 동구)신암2동 행정복지센터",1
"","동구","대구환경공단","24시간 이용가능","","대구광역시 동구 율하동로25길 5","대구광역시","DC차데모+AC3상+DC콤보","대구시_(대구 동구)안심1동 행정복지센터",1
"","동구","대구환경공단","24시간 이용가능","","대구광역시 동구 안심로49길 98","대구광역시","DC차데모+AC3상+DC콤보","대구시_(대구 동구)안심34동 행정복지센터",1
